id,name,organization,unique_id,award_method,deadline,publish_date,details_link
1474,"„Доставка, инсталация и конфигурация на хардуерно оборудване за нуждите на Административен съд София-град по обособени позиции“",АДМИНИСТРАТИВЕН СЪД - СОФИЯ-ГРАД,01848-2024-0001,Открита процедура,2024-12-20,2024-12-11,https://app.eop.bg/today/441535
1475,"Изработка и доставка на рекламни материали в изпълнение на Национална научна програма ""Сигурност и отбрана""",Академия на Министерство на вътрешните работи /МВР/,00563-2024-0041,Открита процедура,2025-01-03,2024-12-11,https://app.eop.bg/today/441371
1476,"№ PPD24-174 Доставка и монтаж на мобилни специализирани системи за откриване на кабелни повреди и тестване на силови кабели - еднофазно изпълнение в превозни средства със специално предназначение, собственост на Възложителя",Електроразпределителни мрежи Запад ЕАД,01467-2024-0083,Открита процедура,2024-12-18,2024-12-11,https://app.eop.bg/today/440714
1477,Периодична доставка на консумативи и принадлежности за медицинска апаратура по обособени позиции,Военномедицинска академия,00085-2024-0053,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/440468
1478,"Изготвяне на технически проекти, изпълнение на СМР и осъществяване на авторски надзор за Внедряване на мерки за енергийна ефективност",ОБЩИНА СЕПТЕМВРИ,00652-2024-0029,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/440363
1479,"Проектиране, доставка, монтаж и гаранционна поддръжка на фотоволтаични системи за собствено потребление по проект ИСУН № BG16FFPR002-5.001-0003 „Подобряване качеството на атмосферния въздух в община Асеновград“, финансиран по процедура № BG16FFPR002-5.001 „За по-чист въздух!“ по приоритет 5 „Въздух“ на Програма „Околна среда“ 2021-2027 г.",ОБЩИНА АСЕНОВГРАД,00022-2024-0071,Открита процедура,2024-12-18,2024-12-11,https://app.eop.bg/today/440098
1480,"""Доставка на кабели 0,6/1 kV с PVC изолация и обвивка с медни жила"", PPD 24-183",Електроразпределителни мрежи Запад ЕАД,01467-2024-0082,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/439735
1481,"Застраховки „Каско“ с разновидности и „Отговорности“, на хеликоптери, предоставени на „България Хели Мед Сървиз“ ЕАД, за осъществяване на спешна медицинска помощ по въздух",БЪЛГАРИЯ ХЕЛИ МЕД СЪРВИЗ ЕАД,06299-2024-0004,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/439061
1482,"Строително монтажни работи (СМР) за вътрешно реновиране на сградната инфраструктура включващи частична подмяна на дограма и осветление, частична рехабилитация на стени и тавани на основни работни помещения (лаборатории, кабинети и помещения за научна дейност) заедно с прилежащите им общи площи и санитарни помещения, както и подмяна на кабелната интернет мрежа по четири обособени позиции”.",ИНСТИТУТ ПО МЕХАНИКА,01942-2024-0015,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/436892
1485,"„Изработка, доставка и монтаж на пътни знаци, табели, стълбове, антипаркинг стълбчета и полагане на хоризонтална пътна маркировка за изграждане и поддържане на зоните за почасово платено паркиране, на нововъведени зони за почасово платено паркиране и дейности, възложени от Столична община извън зоните за почасово платено паркиране по 3 /три/ обособени позиции“",ЦЕНТЪР ЗА ГРАДСКА МОБИЛНОСТ ЕАД,03788-2024-0018,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/433231
1486,Доставка на електроди и електродна тел за заваряване и наваряване,МИНИ МАРИЦА - ИЗТОК ЕАД,00265-2024-0059,Открита процедура,2024-12-17,2024-12-11,https://app.eop.bg/today/432220
